Year,PADD,Volume (m3/d),Volume (bbl/d)
2011,Total,339745.3,2137968.7
2012,PADD I,26154.9,164588.9
2012,PADD II,255998.8,1610963.8
2012,PADD III,18472.6,116245.7
2012,PADD IV,36360.9,228814.2
2012,PADD V,28802.7,181251.3
2012,Other,6271.4,39465.0
2012,Total,372061.4,2341329.0
2013,PADD I,31720.0,199609.5
2013,PADD II,282872.8,1780078.1
2013,PADD III,19336.7,121683.3
2013,PADD IV,37688.0,237165.3
2013,PADD V,30942.5,194716.8
2013,Other,13177.6,82924.8
2013,Total,415737.7,2616177.8
2014,PADD I,39702.5,249842.0
2014,PADD II,301463.9,1897069.3
2014,PADD III,29604.7,186298.4
2014,PADD IV,38283.1,240910.3
2014,PADD V,31985.6,201280.7
2014,Other,12659.6,79665.1
2014,Total,453699.5,2855065.9
2015,PADD I,36621.8,230455.6
2015,PADD II,305670.4,1923540.1
2015,PADD III,62343.9,392321.3
2015,PADD IV,41313.9,259982.3
2015,PADD V,33975.2,213800.8
2015,Other,4062.6,25565.5
2015,Total,483987.7,3045665.6
2016,PADD I,34147.5,214885.2
2016,PADD II,315200.3,1983510.4
2016,PADD III,64863.5,408176.7
2016,PADD IV,38452.4,241975.3
2016,PADD V,33650.4,211757.2
2016,Other,6399.6,40272.0
2016,Total,492713.7,3100576.9
2017,PADD I,37617.1,236718.9
2017,PADD II,332922.7,2095034.9
2017,PADD III,80917.4,509201.8
2017,PADD IV,38659.1,243276.2
2017,PADD V,32531.6,204716.7
2017,Other,5225.9,32886.1
2017,Total,527873.9,3321834.7
2018,PADD I,31387.9,197519.7
2018,PADD II,335363.0,2110391.5
2018,PADD III,109162.2,686941.9
2018,PADD IV,45714.7,287676.2
2018,PADD V,33367.6,209977.4
2018,Other,20576.6,129485.7
2018,Total,575572.0,3621992.4
2019,PADD I,33883.9,213226.3
2019,PADD II,341614.0,2149728.1
2019,PADD III,124395.7,782804.4
2019,PADD IV,45320.1,285192.8
2019,PADD V,37460.9,235736.2
2019,Other,15201.3,95659.8
2019,Total,597875.9,3762347.6
2020,PADD I,21510.9,135365.0
2020,PADD II,341296.5,2147730.2
2020,PADD III,117186.6,737438.6
2020,PADD IV,43701.7,275008.8
2020,PADD V,39438.5,248180.9
2020,Other,21049.4,132461.0
2020,Total,584183.7,3676184.4
2021,PADD I,23005.6,144771.0
2021,PADD II,371598.5,2338416.4
2021,PADD III,104529.4,657788.5
2021,PADD IV,47054.7,296108.6
2021,PADD V,38416.2,241747.4
2021,Other,15172.5,95478.6
2021,Total,599776.9,3774310.4
2022,PADD I,19521.5,122846.0
2022,PADD II,366293.7,2305034.0
2022,PADD III,127259.4,800825.4
2022,PADD IV,43547.8,274039.8
2022,PADD V,43713.2,275080.7
2022,Other,16177.3,101801.3
2022,Total,616512.8,3879627.2
2023,PADD I,17650.7,111073.1
2023,PADD II,388768.5,2446464.6
2023,PADD III,120297.0,757011.5
2023,PADD IV,42892.7,269917.4
2023,PADD V,45362.9,285462.1
2023,Other,20103.9,126511.1
2023,Total,635075.6,3996439.8
2024,PADD I,21554.9,135641.9
2024,PADD II,406031.7,2555099.2
2024,PADD III,113380.9,713490.0
2024,PADD IV,41475.1,260997.1
2024,PADD V,59650.9,375374.8
2024,Other,24948.7,156998.7
2024,Total,667042.3,4197601.7
